品項,型別,重量,成本 RMB,成本 TWD,售價 TWD
BS-0001-KLX,,0,3,14,38
CC-0001-KLX,0.6M黑色,0,10,47,98
CC-0001-KLX,0.6M?色,0,10,47,98
CC-0001-KLX,0.6M藏青色,0,10,47,98
CC-0001-KLX,1.2M黑色,0,11,52,107
CC-0001-KLX,1.2M?色,0,11,52,107
CC-0001-KLX,1.2M藏青色,0,11,52,107
CC-0001-KLX,1.2M咖啡色,0,11,52,107
CC-0001-KLX,1.8M黑色,0,13,61,128
CC-0001-KLX,1.8M?色,0,13,61,128
CC-0001-KLX,1.8M藏青色,0,13,61,128
CC-0001-KLX,1.8M咖啡色,0,13,61,128
CC-0001-KLX,3.0M?色,0,18.5,87,197
CC-0001-KLX,3.0M藏青色,0,18.5,87,197
CC-0001-KLX,3.0M咖啡色,0,18.5,87,197
CC-0001-KLX,3.0M黑色,0,18.5,87,197
CC-0002-KLX,1.0M黑色,0,10,46,98
CC-0002-KLX,1.0M?色,0,10,46,98
CC-0002-KLX,1.0M藍色,0,10,46,98
CC-0003-TRN,,0,,,
CC-0004-VISSKO,黑白色-1.0M,0,12,56,119
CC-0004-VISSKO,銀白色-1.0M,0,12,56,119
CC-0005-BASEUS,黑色-23cm,0,9,42,102
CC-0005-BASEUS,金色-23cm,0,9,42,102
CC-0005-BASEUS,銀色-23cm,0,9,42,102
CC-0006-BASEUS,,0,16,76,199
CC-0007-ROCK,金色1.2m,0,25,117,198
CC-0007-ROCK,玫瑰金1.2m,0,25,117,198
CC-0007-ROCK,錆色1.2m,0,25,117,198
CC-0008-KLX,黑色,0,19,89,174
CC-0008-KLX,藍色,0,19,89,174
CC-0008-KLX,粉色,0,19,89,174
CC-0008-KLX,紅色,0,19,89,174
CC-0008-USAMS,黑色,0,21,98,215
CC-0009-USAMS,,0,21,98,215
CC-0010-BASEUS,黑色,0,19,89,185
CC-0010-BASEUS,銀黑色,0,19,89,185
CC-0010-BASEUS,腮紅金,0,19,89,185
CC-0011-BASEUS,,0,28,139,229
CR-0001-ROCK,黑色,0,20,93,199
CR-0001-ROCK,白色,0,20,93,199
CR-0001-ROCK,藍色,0,20,93,199
CR-0001-ROCK,紅色,0,20,93,199
CR-0002-VISSKO,黑色,0,27,126,239
CR-0002-VISSKO,白色,0,27,126,239
CR-0003-HOCO,,0,15,84,146
CR-0004-BASEUS,,0,24,125,189
CR-0005-BASEUS,,0,23,119,188
CR-0006-ROCK,單口-黑色,0,15,78,138
CR-0006-ROCK,雙口-黑色,0,26,131,204
CR-0006-ROCK,四口-黑色,0,40,201,308
LT-0001-HOCO,,0,10,47,109
LT-0002-BASEUS,,0,9,46,98
HPC-0001-CKU,簡約款-黑色,0,5,31,70
HPC-0001-CKU,簡約款-綠色,0,5,31,70
HPC-0001-CKU,簡約款-橙色,0,5,31,70
HPC-0001-CKU,簡約款-粉色,0,5,31,70
HPC-0001-CKU,簡約款-藏青色,0,5,31,70
HPC-0001-CKU,簡約款-紅色,0,5,31,70
HPC-0001-CKU,簡約款-白色,0,5,31,70
HPC-0001-CKU,簡約款-夜光款,0,5,31,70
HPC-0001-CKU,運動升級款-黑色,0,10,52,99
HPC-0001-CKU,運動升級款-藏青色,0,10,52,99
HPC-0001-CKU,運動升級款-紅色,0,10,52,99
HPC-0001-CKU,運動升級款-粉色,0,10,52,99
HPC-0001-CKU,運動升級款-天藍,0,10,52,99
HPC-0001-CKU,運動升級款-夜光款,0,10,52,99
PC-0001-MHK,,0,7,33,
PC-0002-MHK,,0,12,56,
PC-0003-CKU,,0,9.5,46,
PC-0003-CKU-1,,0,9.5,46,
PC-0004-CKU,,0,10,47,
PC-0005-KLX,,0,10,46,
PC-0006-LEU,,0,6,28,
PC-0007-LEU,,0,5,24,
PC-0008-LEU,,0,15,70,
PC-0009-LKS,,0,14,66,
PC-0010-LKS,,0,10,47,
PC-0011-LKS,,0,20,93,
PC-0012-TRN,,0,,,
PC-0013-TRN,,0,,,
PC-0014-TRN,,0,,,
PC-0015-TRN,,0,,,
PC-0016-DOITMY,,0,,,
PC-0017-DOITMY,,0,,,
PC-0018-LEU,,0,9,42,
PC-0019-MARHOOK,,0,9.5,52,129
PC-0020-MARHOOK,,0,4.5,27,99
PCW-0001-USAMS,,0,12,56,100
PHB-0001-LFZ,,0,,,
PHB-0002-LFZ,,0,,,
PHC-0001-KLX,,0,26,121,175
PHC-0002-TRN,,0,4.9,26,63
PHC-0003-LFZ,,0,8,40,98
PHC-0004-LFZ,,0,8.5,40,109
PHC-0005-BASEUS,,0,29,137,209
PHC-0006-BASEUS,,0,15,70,149
PHC-0007-BASEUS,,0,25,118,215
PHC-0008-BASEUS,,0,25,118,197
PHC-0009-BASEUS,,0,27,127,189
PHC-0010-VISSKO,,0,,,
PHC-0011-USAMS,,0,15,70,149
PHC-0012-ROCK,,0,19,101,169
PHC-0014(15)-LFZ,,0,8,47,99
PHC-0016-HOCO,,0,13,83,159
PHD-0001-LFZ,,0,7,34,76
PHD-0002-SEENDA,,0,15,70,109
PHM-0001-LFZ,,0,,,
PHM-0002-LFZ,,0,,,
RB-0001-CKU,,0,5.8,27,58
RB-0002-DOITMY,,0,5.5,30,59
RB-0003-DOITMY,,0,5.3,29,58
RB-0004-DOITMY,,0,2.3,12,38
SPK-0001-TRN,,0,,,
